2026-01-17 03:55:17,550 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 03:55:19,142 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 03:55:19,722 - INFO - Phone migrated to 4
2026-01-17 03:55:19,830 - INFO - Reconnecting to new data center 4
2026-01-17 03:55:19,955 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 03:55:19,957 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 03:55:19,958 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2026-01-17 03:55:21,835 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2026-01-17 03:55:58,499 - INFO - Starting scrape for @lobelia4cosmetics...
2026-01-17 03:55:58,500 - INFO - Starting scrape for @tikvahpharma...
2026-01-17 03:55:58,501 - INFO - Starting scrape for @CheMed123...
2026-01-17 03:55:58,922 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:55:59,090 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:55:59,413 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:00,044 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:00,576 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:00,972 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:01,628 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:04,258 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:04,330 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:04,501 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:04,704 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:05,511 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:05,720 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:06,196 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:06,902 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:07,501 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:08,189 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
